# Dataset 1: Student Study Habits & Performance

Student_ID,Study_Hours,Test_Score,Attendance,Sleep_Hours
1,25.3,87.4,92.1,6.8
2,15.7,72.3,85.4,7.5
3,32.1,94.2,95.7,6.2
4,18.4,76.8,88.2,7.3
5,28.6,89.5,93.4,6.5
6,22.1,84.3,90.5,6.9
7,12.5,68.7,82.3,7.8
8,35.2,96.1,97.2,6.0
9,20.8,82.5,89.8,7.0
10,27.4,88.9,92.8,6.6
11,16.9,74.6,86.1,7.4
12,30.5,91.8,94.5,6.3
13,19.2,78.4,88.7,7.2
14,26.8,88.2,92.3,6.7
15,14.3,70.9,84.2,7.6
16,33.7,95.3,96.4,6.1
17,21.5,83.1,90.1,7.0
18,29.2,90.4,93.8,6.4
19,17.6,75.8,86.9,7.3
20,31.8,93.1,95.2,6.2
21,23.4,85.7,91.2,6.8
22,13.2,69.5,83.1,7.7
23,34.5,95.8,96.8,6.0
24,20.1,81.2,89.4,7.1
25,28.9,89.9,93.6,6.5
26,16.2,73.5,85.7,7.4
27,32.8,94.6,95.9,6.1
28,18.9,77.8,88.5,7.2
29,27.1,88.6,92.6,6.6
30,15.1,71.4,84.8,7.5
31,34.1,95.5,96.6,6.0
32,22.7,84.9,90.8,6.9
33,29.8,91.2,94.1,6.4
34,17.2,75.1,86.5,7.3
35,31.4,92.7,94.9,6.2
36,24.6,86.5,91.6,6.8
37,13.8,70.2,83.6,7.7
38,33.2,94.9,96.2,6.1
39,19.5,79.3,88.9,7.2
40,26.5,87.8,92.1,6.7
41,15.9,72.8,85.2,7.5
42,30.9,92.1,94.7,6.3
43,21.2,82.7,89.9,7.0
44,28.3,89.2,93.2,6.5
45,16.5,74.1,85.9,7.4
46,32.4,94.4,95.5,6.1
47,18.1,76.5,87.8,7.3
48,25.9,87.1,91.9,6.7
49,14.6,71.2,84.5,7.6
50,31.1,92.4,94.8,6.2
