# Dataset 2: Student Mental Health & Academic Performance

Student_ID,Stress_Level,Hours_Exercise,GPA,Social_Hours
1,7.2,3.5,3.2,8.5
2,4.5,6.0,3.8,12.3
3,8.1,2.0,2.9,5.5
4,5.8,4.5,3.5,10.2
5,6.9,3.0,3.1,7.8
6,3.9,7.0,3.9,14.1
7,7.8,2.5,3.0,6.2
8,5.2,5.0,3.6,11.5
9,6.5,3.8,3.3,9.1
10,4.2,6.5,3.7,13.2
11,7.5,2.8,3.1,6.8
12,5.5,4.8,3.4,10.8
13,6.2,4.0,3.2,9.5
14,4.8,5.5,3.5,11.9
15,7.9,2.2,2.8,5.9
16,5.1,5.2,3.6,11.7
17,6.8,3.2,3.0,8.1
18,4.1,6.8,3.8,13.5
19,7.6,2.7,2.9,6.5
20,5.4,4.9,3.5,10.9
21,6.4,3.9,3.2,9.3
22,4.4,6.2,3.7,12.8
23,7.7,2.4,2.9,6.1
24,5.3,5.1,3.5,11.4
25,6.6,3.6,3.1,8.8
26,4.3,6.4,3.8,13.0
27,7.4,2.9,3.0,7.0
28,5.6,4.7,3.4,10.6
29,6.3,4.1,3.2,9.7
30,4.7,5.7,3.6,12.1
31,8.0,2.1,2.8,5.7
32,5.0,5.3,3.5,11.8
33,6.7,3.3,3.1,8.3
34,4.0,6.9,3.9,13.7
35,7.3,3.0,3.0,7.2
36,5.7,4.6,3.4,10.4
37,6.1,4.2,3.3,9.9
38,4.6,5.8,3.7,12.4
39,7.1,3.1,3.1,7.5
40,5.9,4.4,3.3,10.1
41,6.0,4.3,3.2,9.8
42,4.9,5.4,3.6,11.6
43,7.0,3.2,3.1,7.7
44,5.8,4.5,3.4,10.3
45,6.2,4.0,3.2,9.4
46,4.4,6.3,3.7,12.9
47,7.5,2.8,3.0,6.9
48,5.2,5.0,3.5,11.3
49,6.8,3.4,3.1,8.4
50,4.2,6.6,3.8,13.3
