# Dataset 3: Student Activities & Academic Achievement

Student_ID,Extracurricular_Hours,GPA,Leadership_Roles,Study_Groups
1,8.5,3.6,2,1
2,4.2,3.1,0,3
3,12.1,3.4,3,2
4,6.8,3.3,1,2
5,9.4,3.5,2,1
6,3.5,3.0,0,4
7,11.2,3.3,2,1
8,7.5,3.4,1,2
9,10.3,3.6,2,1
10,5.1,3.2,1,3
11,13.0,3.5,3,1
12,6.2,3.3,1,2
13,8.9,3.4,2,2
14,4.8,3.1,0,3
15,11.7,3.4,2,1
16,7.1,3.3,1,2
17,9.8,3.5,2,1
18,3.9,3.0,0,4
19,12.4,3.4,3,1
20,6.5,3.3,1,2
21,8.2,3.4,2,2
22,5.4,3.2,1,3
23,11.5,3.4,2,1
24,7.8,3.4,1,2
25,10.1,3.5,2,1
26,4.5,3.1,0,3
27,12.8,3.5,3,1
28,6.1,3.3,1,2
29,9.1,3.4,2,2
30,5.7,3.2,1,3
31,11.9,3.4,2,1
32,7.4,3.3,1,2
33,10.5,3.6,2,1
34,4.1,3.0,0,4
35,12.2,3.4,3,1
36,6.7,3.3,1,2
37,8.7,3.4,2,2
38,5.2,3.2,1,3
39,11.4,3.4,2,1
40,7.2,3.3,1,2
41,9.6,3.5,2,1
42,4.4,3.1,0,3
43,12.6,3.5,3,1
44,6.4,3.3,1,2
45,8.8,3.4,2,2
46,5.5,3.2,1,3
47,11.1,3.4,2,1
48,7.6,3.4,1,2
49,10.2,3.5,2,1
50,4.7,3.1,0,3
